encoder_seed,encoder_run,seed,true_dataset,predicted_dataset,count,source,feature_set,shuffled_label_control
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,physionet_grabmyo,2301,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,physionet_grabmyo,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,physionet_hyser,2265,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,ninapro_db10_meganepro,548,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,physionet_grabmyo,664,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,physionet_hyser,1026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,ninapro_db10_meganepro,793,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,physionet_grabmyo,737,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_grabmyo,physionet_hyser,771,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,ninapro_db10_meganepro,786,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,physionet_grabmyo,685,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,physionet_hyser,physionet_hyser,794,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2031,ninapro_db10_meganepro,ninapro_db10_meganepro,2310,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2031,ninapro_db10_meganepro,physionet_grabmyo,1,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2031,ninapro_db10_meganepro,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2031,physionet_grabmyo,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
