encoder_seed,encoder_run,dataset,protocol,calibration_per_class,comparison,metric,n_paired_trials,delta_mean,delta_ci95,win_rate
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,0.0204953639934156,0.0034561521421631,0.7255813953488373
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_raw_stats,acc,430,0.0254956316522139,0.0040930871739633,0.7023255813953488
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_raw_stats,balanced_acc,430,0.0257956501943737,0.0040995296791472,0.7232558139534884
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_raw_stats,macro_f1,430,0.0207950653625071,0.0038408580082965,0.7
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_scratch_encoder,acc,430,0.017518993951652,0.003548314446107,0.6651162790697674
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,0.0179250192563961,0.0035542146985356,0.6906976744186046
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,pretrained_encoder_minus_scratch_encoder,macro_f1,430,0.0152575314438158,0.0032878177633569,0.6790697674418604
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,raw_stats_plus_pretrained_minus_raw_stats,acc,430,0.0398593389123636,0.0037097253044402,0.8348837209302326
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,0.0407516794122474,0.0038003580333983,0.8395348837209302
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,2,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,0.0352232442221054,0.0034988676531507,0.8232558139534883
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_raw_stats,acc,430,0.0287374714720372,0.0051094643713055,0.7069767441860465
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_raw_stats,balanced_acc,430,0.0300971279873718,0.0053958159846524,0.7302325581395349
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_raw_stats,macro_f1,430,0.0248955206468386,0.0048477530206886,0.7023255813953488
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_scratch_encoder,acc,430,0.0143667775824996,0.0041151755106477,0.6116279069767442
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,0.0150193153593802,0.0046239184388066,0.6302325581395349
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,pretrained_encoder_minus_scratch_encoder,macro_f1,430,0.0141346329636442,0.0039739380857965,0.6767441860465117
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,raw_stats_plus_pretrained_minus_raw_stats,acc,430,0.0489736991666039,0.0046220931417837,0.827906976744186
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,0.0517415266616286,0.0048468504947031,0.858139534883721
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,5,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,0.0442718193243543,0.0043036053970633,0.8488372093023255
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_raw_stats,acc,430,0.0047248635647765,0.0068225646871836,0.5
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_raw_stats,balanced_acc,430,0.0052012688678423,0.0074696644067744,0.5372093023255814
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_raw_stats,macro_f1,430,0.0027452156909658,0.0065119640977693,0.5209302325581395
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_scratch_encoder,acc,430,0.0115159797313346,0.0058014662450334,0.5697674418604651
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,0.0117139135514187,0.0062868266635255,0.5720930232558139
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,pretrained_encoder_minus_scratch_encoder,macro_f1,430,0.0107207242195077,0.0055086974705056,0.5837209302325581
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,raw_stats_plus_pretrained_minus_raw_stats,acc,430,0.0268752963638452,0.0064247691290479,0.6209302325581395
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,0.0291331016621692,0.0068285169012222,0.6674418604651163
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,10,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,0.0238596097618229,0.0059826425008319,0.641860465116279
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_raw_stats,acc,100,-0.0123746781800191,0.004404802727968,0.3
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_raw_stats,balanced_acc,100,-0.0127072660132787,0.0044578633929044,0.3
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_raw_stats,macro_f1,100,-0.0043382013806434,0.0041818985708127,0.4
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_scratch_encoder,acc,100,-0.0015602426393039,0.0030039594756204,0.5
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_scratch_encoder,balanced_acc,100,-0.0009845372518424,0.0029817291708632,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,pretrained_encoder_minus_scratch_encoder,macro_f1,100,-0.0034228480996491,0.0032435855442059,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,raw_stats_plus_pretrained_minus_raw_stats,acc,100,-0.0051805370308105,0.0048957464562061,0.35
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,100,-0.0051752879012953,0.0050920317444079,0.4
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_only,0,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,100,0.0014875139663603,0.0046017380392657,0.45
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_raw_stats,acc,100,-0.0123746781800191,0.004404802727968,0.3
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_raw_stats,balanced_acc,100,-0.0127072660132787,0.0044578633929044,0.3
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_raw_stats,macro_f1,100,-0.0043382013806434,0.0041818985708127,0.4
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_scratch_encoder,acc,100,-0.0015602426393039,0.0030039594756204,0.5
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_scratch_encoder,balanced_acc,100,-0.0009845372518424,0.0029817291708632,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,pretrained_encoder_minus_scratch_encoder,macro_f1,100,-0.0034228480996491,0.0032435855442059,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,raw_stats_plus_pretrained_minus_raw_stats,acc,100,-0.0051805370308105,0.0048957464562061,0.35
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,100,-0.0051752879012953,0.0050920317444079,0.4
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,0,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,100,0.0014875139663603,0.0046017380392657,0.45
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_raw_stats,acc,100,-0.0076882394854707,0.0042570920697889,0.33
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_raw_stats,balanced_acc,100,-0.0084624853902518,0.0042156980200262,0.34
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_raw_stats,macro_f1,100,-0.0012587479946531,0.0037554837830401,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_scratch_encoder,acc,100,0.0013580136656334,0.0036527996019527,0.52
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_scratch_encoder,balanced_acc,100,0.0015639426093451,0.0035140183261298,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,pretrained_encoder_minus_scratch_encoder,macro_f1,100,0.0016215643112947,0.003431863889149,0.56
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained_minus_raw_stats,acc,100,0.0034145619862399,0.0047470852954883,0.59
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,100,0.0025951173651018,0.0047560034023509,0.56
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,100,0.00916211152753,0.0041394909745404,0.68
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,acc,100,-0.0084022592888562,0.0048247442551545,0.33
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,balanced_acc,100,-0.0081097162056957,0.0046791237743002,0.33
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,macro_f1,100,-0.0019550716071629,0.0042068378358407,0.47
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,acc,100,0.0022210169114688,0.0040367442041067,0.56
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,balanced_acc,100,0.0029239021275891,0.0038790238105744,0.58
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,macro_f1,100,0.0022485860412545,0.0036500732190773,0.57
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,acc,100,0.0028522504512476,0.0053151624515866,0.55
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,100,0.0026129651813872,0.0053279067848928,0.59
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,100,0.0094512232378112,0.0048293956242878,0.68
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,acc,100,-0.0083436511015477,0.0050756075109099,0.37
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,balanced_acc,100,-0.0079645662934679,0.0048876549793376,0.38
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,macro_f1,100,-0.0019771640401003,0.0042252444892688,0.41
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,5,pretrained_encoder_minus_scratch_encoder,acc,100,0.0024988444077337,0.0043124546364048,0.53
