run_label,seed,shuffled_label_control,dataset,true_fraction,predicted_fraction
encoder_seed_2028,2027,False,ninapro_db10_meganepro,0.1666888563440287,0.1668219944082013
encoder_seed_2028,2027,False,physionet_grabmyo,0.1676208227932366,0.1677539608574091
encoder_seed_2028,2027,False,physionet_hyser,0.1669551324723738,0.167487684729064
encoder_seed_2028,2028,False,emg2pose,0.1799202127659574,0.1550531914893617
encoder_seed_2028,2028,False,emg2qwerty,0.119813829787234,0.14375
encoder_seed_2028,2028,False,harmonic,0.1976063829787234,0.1976063829787234
encoder_seed_2028,2028,False,ninapro_db10_meganepro,0.1682180851063829,0.16875
encoder_seed_2028,2028,False,physionet_grabmyo,0.1716755319148936,0.1718085106382978
encoder_seed_2028,2028,False,physionet_hyser,0.1627659574468085,0.163031914893617
encoder_seed_2028,2029,False,emg2pose,0.1868935452116439,0.1784559133736464
encoder_seed_2028,2029,False,emg2qwerty,0.1268457319645619,0.1347208550133596
encoder_seed_2028,2029,False,harmonic,0.1511742370974546,0.1514554914920545
encoder_seed_2028,2029,False,ninapro_db10_meganepro,0.1788777949655463,0.1788777949655463
encoder_seed_2028,2029,False,physionet_grabmyo,0.180002812543946,0.1801434397412459
encoder_seed_2028,2029,False,physionet_hyser,0.1762058782168471,0.1763465054141471
encoder_seed_2028,2030,False,emg2pose,0.170974690360797,0.1369143780290791
encoder_seed_2028,2030,False,emg2qwerty,0.1557619816908993,0.1887452880990845
encoder_seed_2028,2030,False,harmonic,0.1743403338718362,0.1744749596122778
encoder_seed_2028,2030,False,ninapro_db10_meganepro,0.165589660743134,0.165589660743134
encoder_seed_2028,2030,False,physionet_grabmyo,0.1715131933225632,0.1715131933225632
encoder_seed_2028,2030,False,physionet_hyser,0.16182014001077,0.162762520193861
encoder_seed_2028,2031,False,emg2pose,0.1784134881149806,0.1554726368159203
encoder_seed_2028,2031,False,emg2qwerty,0.1264510779436152,0.146351575456053
encoder_seed_2028,2031,False,harmonic,0.1782752902155887,0.1785516860143725
encoder_seed_2028,2031,False,ninapro_db10_meganepro,0.1706744057490326,0.1706744057490326
encoder_seed_2028,2031,False,physionet_grabmyo,0.175787728026534,0.175787728026534
encoder_seed_2028,2031,False,physionet_hyser,0.1703980099502487,0.1731619679380873
encoder_seed_2028,2032,False,emg2pose,0.1805574625840999,0.2100782644514623
encoder_seed_2028,2032,False,emg2qwerty,0.1543320060414664,0.1220650830701634
encoder_seed_2028,2032,False,harmonic,0.1552931484278456,0.1558423726486338
encoder_seed_2028,2032,False,ninapro_db10_meganepro,0.1705341205547164,0.1705341205547164
encoder_seed_2028,2032,False,physionet_grabmyo,0.168886447892352,0.168886447892352
