run_label,seed,shuffled_label_control,true_dataset,pred_dataset,count,row_fraction
encoder_seed_2026,2031,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2031,False,emg2qwerty,physionet_hyser,4,0.0043715846994535
encoder_seed_2026,2031,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2031,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2031,False,harmonic,harmonic,1290,1.0
encoder_seed_2026,2031,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2031,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2031,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1235,1.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2031,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2031,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2031,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2031,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2031,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2031,False,physionet_grabmyo,physionet_grabmyo,1272,1.0
encoder_seed_2026,2031,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,emg2pose,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2031,False,physionet_hyser,physionet_hyser,1233,1.0
encoder_seed_2026,2032,False,emg2pose,emg2pose,1120,0.8517110266159695
encoder_seed_2026,2032,False,emg2pose,emg2qwerty,190,0.1444866920152091
encoder_seed_2026,2032,False,emg2pose,harmonic,1,0.0007604562737642
encoder_seed_2026,2032,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2032,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2032,False,emg2pose,physionet_hyser,4,0.003041825095057
encoder_seed_2026,2032,False,emg2qwerty,emg2pose,426,0.3790035587188612
encoder_seed_2026,2032,False,emg2qwerty,emg2qwerty,683,0.6076512455516014
encoder_seed_2026,2032,False,emg2qwerty,harmonic,1,0.0008896797153024
encoder_seed_2026,2032,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2032,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2032,False,emg2qwerty,physionet_hyser,14,0.0124555160142348
encoder_seed_2026,2032,False,harmonic,emg2pose,0,0.0
