run_label,seed,shuffled_label_control,dataset,true_support,predicted_support,recall
encoder_seed_2028,2032,False,harmonic,1131,1135,1.0
encoder_seed_2028,2032,False,ninapro_db10_meganepro,1242,1242,1.0
encoder_seed_2028,2032,False,physionet_grabmyo,1230,1230,1.0
encoder_seed_2028,2032,False,physionet_hyser,1241,1257,1.0
encoder_seed_2028,2033,False,emg2pose,1324,1535,0.7711480362537765
encoder_seed_2028,2033,False,emg2qwerty,1124,893,0.5302491103202847
encoder_seed_2028,2033,False,harmonic,1450,1451,1.0
encoder_seed_2028,2033,False,ninapro_db10_meganepro,1253,1253,1.0
encoder_seed_2028,2033,False,physionet_grabmyo,1284,1284,1.0
encoder_seed_2028,2033,False,physionet_hyser,1279,1298,1.0
encoder_seed_2028,2034,False,emg2pose,1382,1327,0.8458755426917511
encoder_seed_2028,2034,False,emg2qwerty,827,877,0.8053204353083434
encoder_seed_2028,2034,False,harmonic,1268,1270,1.0
encoder_seed_2028,2034,False,ninapro_db10_meganepro,1251,1251,0.9992006394884092
encoder_seed_2028,2034,False,physionet_grabmyo,1266,1265,0.9984202211690364
encoder_seed_2028,2034,False,physionet_hyser,1241,1245,1.0
encoder_seed_2028,2035,False,emg2pose,1368,1260,0.7887426900584795
encoder_seed_2028,2035,False,emg2qwerty,872,976,0.7889908256880734
encoder_seed_2028,2035,False,harmonic,1466,1469,1.0
encoder_seed_2028,2035,False,ninapro_db10_meganepro,1244,1243,0.997588424437299
encoder_seed_2028,2035,False,physionet_grabmyo,1298,1299,0.9984591679506932
encoder_seed_2028,2035,False,physionet_hyser,1291,1292,1.0
encoder_seed_2028,2026,True,emg2pose,1343,1082,0.161578555472822
encoder_seed_2028,2026,True,emg2qwerty,944,1192,0.1843220338983051
encoder_seed_2028,2026,True,harmonic,969,1086,0.175438596491228
encoder_seed_2028,2026,True,ninapro_db10_meganepro,1255,1472,0.0860557768924302
encoder_seed_2028,2026,True,physionet_grabmyo,1255,1194,0.1737051792828685
encoder_seed_2028,2026,True,physionet_hyser,1255,995,0.0756972111553784
encoder_seed_2028,2027,True,emg2pose,1358,1132,0.158321060382916
encoder_seed_2028,2027,True,emg2qwerty,902,1110,0.155210643015521
encoder_seed_2028,2027,True,harmonic,1486,2096,0.6944818304172274
encoder_seed_2028,2027,True,ninapro_db10_meganepro,1252,973,0.0838658146964856
encoder_seed_2028,2027,True,physionet_grabmyo,1259,1073,0.1254964257347101
encoder_seed_2028,2027,True,physionet_hyser,1254,1127,0.3022328548644338
encoder_seed_2028,2028,True,emg2pose,1353,877,0.1832963784183296
encoder_seed_2028,2028,True,emg2qwerty,901,1044,0.1675915649278579
encoder_seed_2028,2028,True,harmonic,1486,1180,0.0121130551816958
encoder_seed_2028,2028,True,ninapro_db10_meganepro,1265,1043,0.1122529644268774
encoder_seed_2028,2028,True,physionet_grabmyo,1291,1048,0.1564678543764523
encoder_seed_2028,2028,True,physionet_hyser,1224,2328,0.0318627450980392
encoder_seed_2028,2029,True,emg2pose,1329,1280,0.1888638073739653
encoder_seed_2028,2029,True,emg2qwerty,902,1808,0.1252771618625277
encoder_seed_2028,2029,True,harmonic,1075,871,0.0
