dataset,protocol,calibration_per_class,model,n_trials,n_units,balanced_acc_mean,macro_f1_mean,acc_mean,n_train_mean,n_test_mean
physionet_hyser,source_plus_calibration,5,raw_stats,200,20,0.250163412575002,0.22716397716105685,0.249800755821008,1513.55,1312.05
physionet_hyser,source_plus_calibration,5,raw_stats_plus_frequency,200,20,0.2933810670022994,0.28043776810750853,0.2928556791898206,1513.55,1312.05
physionet_hyser,source_plus_calibration,5,raw_stats_plus_pretrained,200,20,0.30242778236153467,0.2909602254122051,0.30191978307996253,1513.55,1312.05
physionet_hyser,source_plus_calibration,10,frequency_logbandpower,200,20,0.34570903952654314,0.3272116932217308,0.34515845632324127,1682.3,1161.5
physionet_hyser,source_plus_calibration,10,pretrained_encoder,200,20,0.28382497732361406,0.2682525427830715,0.2831061140751045,1682.3,1161.5
physionet_hyser,source_plus_calibration,10,raw_stats,200,20,0.29695920631013445,0.2711951834240036,0.2966694162666126,1682.3,1161.5
physionet_hyser,source_plus_calibration,10,raw_stats_plus_frequency,200,20,0.3584950542895946,0.3430404705205792,0.35758760602448575,1682.3,1161.5
physionet_hyser,source_plus_calibration,10,raw_stats_plus_pretrained,200,20,0.36567094111891146,0.35286219275113057,0.3650469579533587,1682.3,1161.5
physionet_hyser,source_plus_calibration,20,frequency_logbandpower,200,20,0.422909170806936,0.40159142775412227,0.42204502329744065,2019.8,824.0
physionet_hyser,source_plus_calibration,20,pretrained_encoder,200,20,0.34827361184172256,0.33014730989339713,0.34731700371139246,2019.8,824.0
physionet_hyser,source_plus_calibration,20,raw_stats,200,20,0.3642406887481115,0.3350321466834235,0.3639637912236467,2019.8,824.0
physionet_hyser,source_plus_calibration,20,raw_stats_plus_frequency,200,20,0.44573005191962295,0.4276258900020819,0.4447346386565573,2019.8,824.0
physionet_hyser,source_plus_calibration,20,raw_stats_plus_pretrained,200,20,0.4546211526105355,0.439977501154696,0.4539857764805786,2019.8,824.0
