dataset,protocol,subject_id,unit,seed,model,metric,aulc
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5196608508053875
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2033,raw_stats_plus_signal,balanced_acc,0.5104021453731284
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5369881586963656
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2034,raw_stats_plus_signal,balanced_acc,0.4646250410125589
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5530331827652437
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2035,raw_stats_plus_signal,balanced_acc,0.48986575980431063
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.446473101246667
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2026,raw_stats_plus_signal,balanced_acc,0.4104053338823574
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4510286210578091
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2027,raw_stats_plus_signal,balanced_acc,0.4198799749742188
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.46771928786486017
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2028,raw_stats_plus_signal,balanced_acc,0.43924335968263245
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4371623157449754
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2029,raw_stats_plus_signal,balanced_acc,0.3818207986423351
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.419168868711442
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2030,raw_stats_plus_signal,balanced_acc,0.3831680308403913
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.470133738809136
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2031,raw_stats_plus_signal,balanced_acc,0.4328583483976168
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4411545577778411
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2032,raw_stats_plus_signal,balanced_acc,0.383193573586213
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.48984587734624274
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2033,raw_stats_plus_signal,balanced_acc,0.4383000437531636
physionet_grabmyo,heldout_subject_fewshot,S08,physionet_grabmyo::heldout_subject::S08,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4880921128502932
