dataset,subject_id,source_session,target_session,unit,seed,model,metric,aulc
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2032,raw_stats,balanced_acc,0.46443214128423166
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2032,raw_stats_plus_frequency,balanced_acc,0.3195558387624136
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2032,raw_stats_plus_pretrained,balanced_acc,0.27798790140859597
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2033,frequency_logbandpower,balanced_acc,0.42263927446986205
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2033,pretrained_encoder,balanced_acc,0.1690556625671799
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2033,raw_stats,balanced_acc,0.4379185818185578
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2033,raw_stats_plus_frequency,balanced_acc,0.34150632711113327
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2033,raw_stats_plus_pretrained,balanced_acc,0.29791919375888287
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2034,frequency_logbandpower,balanced_acc,0.41316812857514706
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2034,pretrained_encoder,balanced_acc,0.14343477973243413
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2034,raw_stats,balanced_acc,0.4641147728164793
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2034,raw_stats_plus_frequency,balanced_acc,0.3496463627523561
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2034,raw_stats_plus_pretrained,balanced_acc,0.2830601268862952
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2035,frequency_logbandpower,balanced_acc,0.4210625852635127
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2035,pretrained_encoder,balanced_acc,0.14881258497464203
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2035,raw_stats,balanced_acc,0.46538452337462244
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2035,raw_stats_plus_frequency,balanced_acc,0.32146147530077523
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2035,raw_stats_plus_pretrained,balanced_acc,0.27210231132224966
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2026,frequency_logbandpower,balanced_acc,0.3812719796982258
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2026,pretrained_encoder,balanced_acc,0.1724069602254827
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2026,raw_stats,balanced_acc,0.44605458677166926
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2026,raw_stats_plus_frequency,balanced_acc,0.3414841468068782
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2026,raw_stats_plus_pretrained,balanced_acc,0.2760875838059693
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2027,frequency_logbandpower,balanced_acc,0.38746052369353695
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2027,pretrained_encoder,balanced_acc,0.17945811264334027
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2027,raw_stats,balanced_acc,0.4298163824060191
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2027,raw_stats_plus_frequency,balanced_acc,0.31810279300885924
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2027,raw_stats_plus_pretrained,balanced_acc,0.29211544786354304
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2028,frequency_logbandpower,balanced_acc,0.3880222272896287
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2028,pretrained_encoder,balanced_acc,0.17454868249611888
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2028,raw_stats,balanced_acc,0.41756643042817865
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2028,raw_stats_plus_frequency,balanced_acc,0.33743572516482007
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2028,raw_stats_plus_pretrained,balanced_acc,0.27230915803744093
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2029,frequency_logbandpower,balanced_acc,0.38134569201567897
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2029,pretrained_encoder,balanced_acc,0.16680261989566
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2029,raw_stats,balanced_acc,0.42038499332121376
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2029,raw_stats_plus_frequency,balanced_acc,0.32379382514931465
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2029,raw_stats_plus_pretrained,balanced_acc,0.2636863818646305
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2030,frequency_logbandpower,balanced_acc,0.36990015838740353
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2030,pretrained_encoder,balanced_acc,0.17837995189034705
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2030,raw_stats,balanced_acc,0.43091848834203067
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2030,raw_stats_plus_frequency,balanced_acc,0.2925822916306834
physionet_grabmyo,S02,session1,session3,physionet_grabmyo::S02::session1->session3,2030,raw_stats_plus_pretrained,balanced_acc,0.26412058836137375
