seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set,mutual_information,normalized_mutual_information
2035,2,41881,18119,0.5,0.5023456040620343,0.4827529113085711,0.4830910652982512,0.4802193424325766,0.5172470886914289,0.6919533625638501,0.9982776846973096,0.0366061148807658,True,two_domain_confirmatory_features,raw_statistics,0.0005840805590341565,0.0008490578159808042
2026,2,41792,18208,0.5,0.5007688927943761,0.9883567662565904,0.9883575832906828,0.9883567548778404,0.9883567662565904,0.0359207213777637,0.0518226465968539,0.0015124633897365,False,two_domain_confirmatory_features,scratch_embedding,0.6297364973295464,0.9085185599105026
2026,2,41792,18208,0.5,0.5007688927943761,0.4883567662565905,0.4883471106487705,0.4883314800228575,0.5116432337434095,0.6884766768857191,0.9932618875107402,0.0500230470221613,True,two_domain_confirmatory_features,scratch_embedding,0.00027164638486472815,0.00039192539194463874
2027,2,41903,18097,0.5,0.5002486599988949,0.9867933911698072,0.9867926459217288,0.9867933389079472,0.9867933911698072,0.0369020893509144,0.0532384613050057,0.0011511600130481,False,two_domain_confirmatory_features,scratch_embedding,0.6229629444088839,0.8987495591860634
2027,2,41903,18097,0.5,0.5002486599988949,0.477316682323037,0.4773113042155359,0.4772528356158145,0.5226833176769631,0.6887311477683832,0.9936290113912104,0.0599804418556687,True,two_domain_confirmatory_features,scratch_embedding,0.0010303896917096683,0.0014867885754510008
2028,2,42174,17826,0.5,0.5025805003926849,0.9899584876023786,0.9899631421178088,0.989958309847496,0.9899584876023786,0.0328745339113934,0.0474279270455034,0.0025022412292935,False,two_domain_confirmatory_features,scratch_embedding,0.6369906621017194,0.9189956069750863
2028,2,42174,17826,0.5,0.5025805003926849,0.4816560080780881,0.4815900859740311,0.4815352964245037,0.5183439919219118,0.688682126699344,0.9935582889380083,0.0558224260833293,True,two_domain_confirmatory_features,scratch_embedding,0.000678426109416444,0.0009789984339397856
2029,2,41824,18176,0.5,0.5001100352112676,0.9867407570422536,0.9867405021373808,0.9867407319578984,0.9867407570422536,0.0361137782498261,0.0521011687887879,0.0013266927784825,False,two_domain_confirmatory_features,scratch_embedding,0.6227038579577326,0.8983738588597107
2029,2,41824,18176,0.5,0.5001100352112676,0.5461597711267606,0.5461547486467775,0.5459207660516527,0.5461597711267606,0.6883350508412437,0.9930575643187148,0.0074356809837205,True,two_domain_confirmatory_features,scratch_embedding,0.004275567095071878,0.0061729838530436105
2030,2,41977,18023,0.5,0.5039671530821728,0.9844642956222605,0.9844219330996936,0.9844616087403496,0.9844642956222605,0.0417281367698891,0.0602009759834554,0.0013557517718368,False,two_domain_confirmatory_features,scratch_embedding,0.6138129656647386,0.885672780723753
2030,2,41977,18023,0.5,0.5039671530821728,0.517505409754203,0.5174688696167903,0.5174687937841137,0.517505409754203,0.6887013959396805,0.9935860885754836,0.0199347653654534,True,two_domain_confirmatory_features,scratch_embedding,0.0006104614966905789,0.0008807583689605712
2031,2,41943,18057,0.5,0.5000830702774547,0.9847704491333,0.98477137800331,0.984770000531674,0.9847704491333,0.0410732317332967,0.0592561477349104,0.0025124819402505,False,two_domain_confirmatory_features,scratch_embedding,0.6153116694499611,0.8877459919761024
2031,2,41943,18057,0.5,0.5000830702774547,0.5170847870631888,0.5170848289388019,0.5170847737334324,0.5170847870631888,0.6881038562042318,0.9927240209624176,0.0226770469293679,True,two_domain_confirmatory_features,scratch_embedding,0.0005838965448873197,0.0008423847335652892
2032,2,41880,18120,0.5,0.5027593818984547,0.9826158940397351,0.9825712009220148,0.9826127153543436,0.9826158940397351,0.0412618129614345,0.0595282129375495,0.0025769781636704,False,two_domain_confirmatory_features,scratch_embedding,0.6072304203908387,0.8762043497945807
2032,2,41880,18120,0.5,0.5027593818984547,0.5391832229580574,0.5392002543825558,0.539183217344064,0.5391832229580574,0.6889954716075002,0.9940103500830932,0.0031695420548619,True,two_domain_confirmatory_features,scratch_embedding,0.003076494796003148,0.004438545279052634
2033,2,42017,17983,0.5,0.5000278040371462,0.9877106155813824,0.9877105815285432,0.9877106101090996,0.9877106155813824,0.0357695363188226,0.0516045326620631,0.0013942843086107,False,two_domain_confirmatory_features,scratch_embedding,0.6268870161438506,0.9044073239900906
2033,2,42017,17983,0.5,0.5000278040371462,0.5020296947116721,0.5020290716279744,0.5019668546362747,0.5020296947116721,0.6877428091807797,0.9922031402121556,0.0392283860358698,True,two_domain_confirmatory_features,scratch_embedding,8.238423342753253e-06,1.1887685960821577e-05
2034,2,41830,18170,0.5,0.5046780407264722,0.98673637864612,0.9867419120319884,0.9867353883068712,0.98673637864612,0.0352749342529626,0.0508909727144334,0.0020174728185088,False,two_domain_confirmatory_features,scratch_embedding,0.6226188210036853,0.8982977964649951
2034,2,41830,18170,0.5,0.5046780407264722,0.4683544303797468,0.4683253968253968,0.4683246442214998,0.5316455696202531,0.6884663959293462,0.9932470552259656,0.0701284198790299,True,two_domain_confirmatory_features,scratch_embedding,0.002007802245701136,0.002896770725902197
